ID	Frequency	Tasks	Environment	Productivity	TimeReduction	Quality	Languages	CorrectionFrequency	Challenges	Benefits	Satisfaction
1	Naponta többször, konkrét problémáknál	Kódgenerálás (pl. boilerplate, függvények, osztályok);Új technológiák, API-k vagy nyelvek megértése;Kód konvertálása nyelvek vagy keretrendszerek között;	A webes chat felületen (gemini.google.com)	4	11-25%	4	Python;JavaScript / TypeScript;	Gyakran, de a váz általában használható	Nem fordul le vagy futásidejű hibát tartalmaz a generált kód.;Nem létező függvényeket, könyvtárakat vagy API hívásokat "talál ki" (halucinál).;Kényelmetlen a webes chat felületről másolgatni a kódot az IDE-be.;	Gyorsabb, hogy nem nekem kell a boilerplate-et beklimpírozni;Nem kell a szintaxis után kutatnom;Beadom neki a hibaüzenetet és sokszor tudja, mi a hiba	5
2	Folyamatosan, a munkaidőm jelentős részében	Kódgenerálás (pl. boilerplate, függvények, osztályok);Hibakeresés (debugging), hibaüzenetek értelmezése;Kódoptimalizálás, refaktorálás;Új technológiák, API-k vagy nyelvek megértése;Algoritmusok kidolgozása, komplex logika megírása;	A webes chat felületen (gemini.google.com)	5	Több mint 50%	4	JavaScript / TypeScript;Java;	Ritkán, a kód többnyire helyes és hatékony	Nem létező függvényeket, könyvtárakat vagy API hívásokat "talál ki" (halucinál).;Nincs jelentős problémám a használatával.;	Koncepcióalkotás és magas szintű tervezés;A "robotmunka" automatizálása;Hibakeresés	5
3	Naponta többször, konkrét problémáknál	Új technológiák, API-k vagy nyelvek megértése;Unit tesztek vagy tesztesetek írása;Kódgenerálás (pl. boilerplate, függvények, osztályok);Hibakeresés (debugging), hibaüzenetek értelmezése;Kódoptimalizálás, refaktorálás;	IDE kiegészítőként (pl. VS Code, JetBrains)	4	Több mint 50%	4	Java;JavaScript / TypeScript;	Néha, többnyire csak kisebb finomítások kellenek	Nem hatékony vagy nem idiomatikus kódot javasol.;Nem létező függvényeket, könyvtárakat vagy API hívásokat "talál ki" (halucinál).;	tesztek írása, kód refaktorálása, probléma eredetének megtalálása	5
4	Naponta többször, konkrét problémáknál	Hibakeresés (debugging), hibaüzenetek értelmezése;Unit tesztek vagy tesztesetek írása;Kódgenerálás (pl. boilerplate, függvények, osztályok);	IDE kiegészítőként (pl. VS Code, JetBrains)	3	11-25%	4	Java;	Néha, többnyire csak kisebb finomítások kellenek	Lassú a válaszadás, ami megtöri a fejlesztői flow-t.;Az IDE integráció hiányos vagy nem elég hatékony.;	gyorsabb hibakeresés, maven dependency optimalizálás, boilerplate kód generálás	5
5	Naponta egyszer, egy-egy nagyobb feladathoz	Hibakeresés (debugging), hibaüzenetek értelmezése;Új technológiák, API-k vagy nyelvek megértése;	A webes chat felületen (gemini.google.com)	3	11-25%	3	Python;SQL;	Gyakran, de a váz általában használható	Nem fordul le vagy futásidejű hibát tartalmaz a generált kód.;Nem létező függvényeket, könyvtárakat vagy API hívásokat "talál ki" (halucinál).;	Szintaxis ellenőrzés, ahelyett, hogy több google találatot végigolvasnék, inkább megírom neki, hogy milyen információra van szükségem. Alap kódot legenerálok vele, amit könnyen átlátok ha hiba van benne. Sajnos szokott benne lenni.	3
6	Naponta többször, konkrét problémáknál	Hibakeresés (debugging), hibaüzenetek értelmezése;Kódoptimalizálás, refaktorálás;Kódgenerálás (pl. boilerplate, függvények, osztályok);	IDE kiegészítőként (pl. VS Code, JetBrains)	4	26-50%	3	JavaScript / TypeScript;	Gyakran, de a váz általában használható	Nem érti a kódbázisom szélesebb kontextusát, csak az adott kódrészletet.;Ha VPN-en vagyok akkor majdnem használhatatlan. Nagyon sokszor 400-al elhasal a válaszadás közben;	1. boilerplate kód generálás;2. hibakeresés;3. kisebb függvények, tool-ok generálása	4
7	Folyamatosan, a munkaidőm jelentős részében	Kódgenerálás (pl. boilerplate, függvények, osztályok);Hibakeresés (debugging), hibaüzenetek értelmezése;Kódoptimalizálás, refaktorálás;Új technológiák, API-k vagy nyelvek megértése;	IDE kiegészítőként (pl. VS Code, JetBrains)	5	26-50%	4	JavaScript / TypeScript;Kotlin;	Néha, többnyire csak kisebb finomítások kellenek	Nem létező függvényeket, könyvtárakat vagy API hívásokat "talál ki" (halucinál).;Neha belejavit olyan dolgokba amit en direkt kijavitottam kezzel es ilyenkor kezzel kell javitgatni a diff-et. Mondjuk miota kertem hogy ne azota nem remlik.;Lassú a válaszadás, ami megtöri a fejlesztői flow-t.;	Meglevo kodbazis megertese, hibakereses, kodolas	5
8	Naponta egyszer, egy-egy nagyobb feladathoz	Hibakeresés (debugging), hibaüzenetek értelmezése;Kódgenerálás (pl. boilerplate, függvények, osztályok);Kód konvertálása nyelvek vagy keretrendszerek között;Dokumentáció írása (pl. docstringek, kommentek);	IDE kiegészítőként (pl. VS Code, JetBrains)	3	11-25%	3	Python;JavaScript / TypeScript;	Gyakran, de a váz általában használható	Nem létező függvényeket, könyvtárakat vagy API hívásokat "talál ki" (halucinál).;	Ismeretlen technologiak lenyeget osszefoglalja es kiindulo alapot nyujt a FRISS dokumentacio mely teruleten kell tovabb keresgelni. Interaktivan egyutt tudunk megoldast keresni.	3
9	Naponta többször, konkrét problémáknál	Hibakeresés (debugging), hibaüzenetek értelmezése;Kódoptimalizálás, refaktorálás;Kódgenerálás (pl. boilerplate, függvények, osztályok);	A webes chat felületen (gemini.google.com)	3	Több mint 50%	3	Python;	Néha, többnyire csak kisebb finomítások kellenek	Nincs jelentős problémám a használatával.;	Kérdések tisztázása, kódolás, új technológiák megértése	5
10	Naponta egyszer, egy-egy nagyobb feladathoz	Dokumentáció írása (pl. docstringek, kommentek);	A webes chat felületen (gemini.google.com)	4	26-50%	4	JavaScript / TypeScript;SQL;	Néha, többnyire csak kisebb finomítások kellenek	Nem érti a kódbázisom szélesebb kontextusát, csak az adott kódrészletet.;	Tesztesetek készítése, tesztelési dokumentáció készítése, sql query-k írása	5
