ID;Start time;Completion time;Email;Name;Last modified time;Milyen gyakran használod a Gemini Pro-t a fejlesztési ciklus során?;Milyen programozási feladatokhoz veszed leggyakrabban igénybe?;Milyen környezetben használod a legszívesebben a Gemini Pro-t kódoláshoz?;"Egy 1-től 5-ig terjedő skálán, mennyire növelte a fejlesztői produktivitásodat a Gemini Pro? (1. szint: Egyáltalán nem, 5. szint: Rendkívüli mértékben)
";Becslésed szerint mennyivel csökkent a fejlesztési idő azokban a feladatokban, ahol a Gemini Pro-t használod?;Miben változott meg leginkább a fejlesztési módszered (pl. prototípus-készítés, tesztelés, refaktorálás), amióta a Gemini-t használod?;Mennyire tartod megbízhatónak a Gemini Pro által generált kód minőségét? ( 1. szint: Teljesen megbízhatatlan, gyakran hibás, 5. szint: Kiváló, általában azonnal használható);Mely programozási nyelvekben használod leggyakrabban a Gemini Pro-t?;Milyen gyakran kell manuálisan javítanod vagy jelentősen átírnod a Gemini által generált kódot?;Mi a legnagyobb kihívás vagy frusztráció a Gemini Pro kódolási célú használata során?;Mi az a három legfontosabb dolog, amiben a Gemini Pro a legtöbbet segítette a munkádat?;Ha egy dolgot kérhetnél, mi lenne az a funkció vagy javítás, ami a leghasznosabb lenne számodra mint fejlesztő?;Összességében mennyire vagy elégedett a Gemini Pro-val mint fejlesztői eszközzel? ( 1. szint: Nagyon elégedetlen, 5. szint: Teljes mértékben elégedett)
1;10.9.25 12:01:06;10.9.25 12:08:27;anonymous;;;Naponta többször, konkrét problémáknál;"Kódgenerálás (pl. boilerplate, függvények, osztályok);Új technológiák, API-k vagy nyelvek megértése;Kód konvertálása nyelvek vagy keretrendszerek között;";A webes chat felületen (gemini.google.com);4;11-25%;Azzal kezdem a kódolást, hogy legeneráltatom geminivel, ha hibát dob a kód, visszaetetem neki, a szemantikai hibákat kézzel javítom.;4;"Python;JavaScript / TypeScript;";Gyakran, de a váz általában használható;"Nem fordul le vagy futásidejű hibát tartalmaz a generált kód.;Nem létező függvényeket, könyvtárakat vagy API hívásokat ""talál ki"" (halucinál).;Kényelmetlen a webes chat felületről másolgatni a kódot az IDE-be.;";"Gyorsabb, hogy nem nekem kell a boilerplate-et beklimpírozni
Nem kell a szintaxis után kutatnom
Beadom neki a hibaüzenetet és sokszor tudja, mi a hiba";IDE integráció;5
2;10.9.25 11:49:25;10.9.25 12:17:10;anonymous;;;Folyamatosan, a munkaidőm jelentős részében;"Kódgenerálás (pl. boilerplate, függvények, osztályok);Hibakeresés (debugging), hibaüzenetek értelmezése;Kódoptimalizálás, refaktorálás;Új technológiák, API-k vagy nyelvek megértése;Algoritmusok kidolgozása, komplex logika megírása;";A webes chat felületen (gemini.google.com);5;Több mint 50%;Leginkább az változott, hogy már nem csak apró részfeladatokban kérem a Gemini segítségét. Ehelyett minden nagyobb feladatnak indítok egy saját „gem”-et, amibe beleteszem a specifikációt, majd közösen kitaláljuk a magas szintű tervet. A releváns kódfájlokat is folyamatosan megosztom vele, így a kontextus birtokában sokkal egységesebb és a projektbe jobban illeszkedő kódot, teszteket és refaktorálási ötleteket ad.;4;"JavaScript / TypeScript;Java;";Ritkán, a kód többnyire helyes és hatékony;"Nem létező függvényeket, könyvtárakat vagy API hívásokat ""talál ki"" (halucinál).;Nincs jelentős problémám a használatával.;";"Koncepcióalkotás és magas szintű tervezés
A ""robotmunka"" automatizálása
Hibakeresés";Kontextushoz való hozzáférés hogy ha félremegy egy beszélgetés ne kelljen újrakezdeni;5
3;10.9.25 12:29:16;10.9.25 12:35:36;anonymous;;;Naponta többször, konkrét problémáknál;"Új technológiák, API-k vagy nyelvek megértése;Unit tesztek vagy tesztesetek írása;Kódgenerálás (pl. boilerplate, függvények, osztályok);Hibakeresés (debugging), hibaüzenetek értelmezése;Kódoptimalizálás, refaktorálás;";IDE kiegészítőként (pl. VS Code, JetBrains);4;Több mint 50%;Ha megvan a feladat mikéntje, a megvalósitás nem okoz fejfájást;4;"Java;JavaScript / TypeScript;";Néha, többnyire csak kisebb finomítások kellenek;"Nem hatékony vagy nem idiomatikus kódot javasol.;Nem létező függvényeket, könyvtárakat vagy API hívásokat ""talál ki"" (halucinál).;";tesztek írása, kód refaktorálása, probléma eredetének megtalálása;lehetne kevésbé magabiztos adott külső könyvtár verziójában, van amikor deprecated amit ad, vagy nem létezik de az ritka;5
4;10.9.25 12:27:04;10.9.25 12:36:39;anonymous;;;Naponta többször, konkrét problémáknál;"Hibakeresés (debugging), hibaüzenetek értelmezése;Unit tesztek vagy tesztesetek írása;Kódgenerálás (pl. boilerplate, függvények, osztályok);";IDE kiegészítőként (pl. VS Code, JetBrains);3;11-25%;.;4;"Java;";Néha, többnyire csak kisebb finomítások kellenek;"Lassú a válaszadás, ami megtöri a fejlesztői flow-t.;Az IDE integráció hiányos vagy nem elég hatékony.;";gyorsabb hibakeresés, maven dependency optimalizálás, boilerplate kód generálás;.;5
5;10.9.25 12:37:21;10.9.25 12:41:19;anonymous;;;Naponta egyszer, egy-egy nagyobb feladathoz;"Hibakeresés (debugging), hibaüzenetek értelmezése;Új technológiák, API-k vagy nyelvek megértése;";A webes chat felületen (gemini.google.com);3;11-25%;Megiratok vele kisebb kódrészeket, ennél többet nem érzem, hogy rábízhatok.;3;"Python;SQL;";Gyakran, de a váz általában használható;"Nem fordul le vagy futásidejű hibát tartalmaz a generált kód.;Nem létező függvényeket, könyvtárakat vagy API hívásokat ""talál ki"" (halucinál).;";Szintaxis ellenőrzés, ahelyett, hogy több google találatot végigolvasnék, inkább megírom neki, hogy milyen információra van szükségem. Alap kódot legenerálok vele, amit könnyen átlátok ha hiba van benne. Sajnos szokott benne lenni.;Automatikusan ellenőrizze le a saját kódját/állítását, ne kelljen 5x visszajelezni, hogy ez meg az elbukott.;3
6;10.9.25 12:30:15;10.9.25 12:56:28;anonymous;;;Naponta többször, konkrét problémáknál;"Hibakeresés (debugging), hibaüzenetek értelmezése;Kódoptimalizálás, refaktorálás;Kódgenerálás (pl. boilerplate, függvények, osztályok);";IDE kiegészítőként (pl. VS Code, JetBrains);4;26-50%;A legnagyobb változás az, hogy az AI-asszisztenst használok a VS Code-ban ami elég sokszor segít ha éppen nem jut eszembe a szintaxis vagy végképp nem tudom megoldani a problémámat. De olyan is volt hogy tanácsot kértem, hogy melyik megoldás az optimálisabb. Hasznos még a boilerplate kódok generálásában is az intelliSensee-el gyorsabb lett a munka. Ami hátrány, hogy sokszor nem látja az egész projektet mint kontextust és többször adott már hibás kódot is. Szóval oda kell figyelni hogy mit generál. Ha komplexebb feladatot adok neki akkor az esetek legnagyobb százalékában nem sikerül neki elsőre hibátlanra. Azt együtt kalapáljuk tovább :) A kisebb feladatokat átlalában jobban megoldja;3;"JavaScript / TypeScript;";Gyakran, de a váz általában használható;"Nem érti a kódbázisom szélesebb kontextusát, csak az adott kódrészletet.;Ha VPN-en vagyok akkor majdnem használhatatlan. Nagyon sokszor 400-al elhasal a válaszadás közben;";"1. boilerplate kód generálás
2. hibakeresés
3. kisebb függvények, tool-ok generálása";Ha az assistent az egész projektemet látná mint kontextus amikor kérdezem;4
7;10.9.25 13:26:54;10.9.25 14:19:05;anonymous;;;Folyamatosan, a munkaidőm jelentős részében;"Kódgenerálás (pl. boilerplate, függvények, osztályok);Hibakeresés (debugging), hibaüzenetek értelmezése;Kódoptimalizálás, refaktorálás;Új technológiák, API-k vagy nyelvek megértése;";IDE kiegészítőként (pl. VS Code, JetBrains);5;26-50%;"Ha valami uj dolgot kell csinalni amivel korabban nem talalkoztam akkor nem dokumentacio olvasassal kezdem hanem megkerem hogy csinalja meg es magyarazza el mit miert.
Repetativ munkafolyamatoknal nem megcsinalom, hanem leirom hogy kell, adok par edge case peldat es megcsinaltatom. Uj nem ismert kodbazisnal magyarazatot kerek hogy mi hogy mukodik.";4;"JavaScript / TypeScript;Kotlin;";Néha, többnyire csak kisebb finomítások kellenek;"Nem létező függvényeket, könyvtárakat vagy API hívásokat ""talál ki"" (halucinál).;Neha belejavit olyan dolgokba amit en direkt kijavitottam kezzel es ilyenkor kezzel kell javitgatni a diff-et. Mondjuk miota kertem hogy ne azota nem remlik.;Lassú a válaszadás, ami megtöri a fejlesztői flow-t.;";Meglevo kodbazis megertese, hibakereses, kodolas;Most nem jut eszembe semmi;5
8;10.14.25 8:33:50;10.14.25 8:44:06;anonymous;;;Naponta egyszer, egy-egy nagyobb feladathoz;"Hibakeresés (debugging), hibaüzenetek értelmezése;Kódgenerálás (pl. boilerplate, függvények, osztályok);Kód konvertálása nyelvek vagy keretrendszerek között;Dokumentáció írása (pl. docstringek, kommentek);";IDE kiegészítőként (pl. VS Code, JetBrains);3;11-25%;"jobban ertelmezheto beszedes valtozo, fv, osztaly elnevezeseket hasznalok. uj folyamat letrehozasanal kovetem a lefutasi sorrendet.
router - controller - service - repo , igy jobban kepbekerul az AI mi a celom";3;"Python;JavaScript / TypeScript;";Gyakran, de a váz általában használható;"Nem létező függvényeket, könyvtárakat vagy API hívásokat ""talál ki"" (halucinál).;";Ismeretlen technologiak lenyeget osszefoglalja es kiindulo alapot nyujt a FRISS dokumentacio mely teruleten kell tovabb keresgelni. Interaktivan egyutt tudunk megoldast keresni.;"kod valtoztataskor atnezhetne a kodot lehetseges toresek utan kutatva es figyelmeztethetne.
 ";3
9;10.14.25 8:37:25;10.14.25 8:50:48;anonymous;;;Naponta többször, konkrét problémáknál;"Hibakeresés (debugging), hibaüzenetek értelmezése;Kódoptimalizálás, refaktorálás;Kódgenerálás (pl. boilerplate, függvények, osztályok);";A webes chat felületen (gemini.google.com);3;Több mint 50%;-;3;"Python;";Néha, többnyire csak kisebb finomítások kellenek;"Nincs jelentős problémám a használatával.;";Kérdések tisztázása, kódolás, új technológiák megértése;-;5
10;10.14.25 11:24:15;10.14.25 11:41:03;anonymous;;;Naponta egyszer, egy-egy nagyobb feladathoz;"Dokumentáció írása (pl. docstringek, kommentek);";A webes chat felületen (gemini.google.com);4;26-50%;Eddig jellemzően tesztesetek írására, dokumentációra használtam a Geminit;4;"JavaScript / TypeScript;SQL;";Néha, többnyire csak kisebb finomítások kellenek;"Nem érti a kódbázisom szélesebb kontextusát, csak az adott kódrészletet.;";Tesztesetek készítése, tesztelési dokumentáció készítése, sql query-k írása;"Adjon információt az általa generált válasz ""biztosságáról"", ha nem elégséges információt adtam a promptban akkor ezt jelezze és ne a kevés alapján próbáljon meg biztosnak tűnő, de hibás választ adni";5
