ID	Start time	Completion time	Email	Name	Last modified time	What is your current role? (Select one) 	"What is your level of experience in software development? 
"	What programming languages do you use most frequently? (Select all that apply) 	"How often do you use generative AI tools in your development process? 
"	What generative AI tools do you use? (Select all that apply) 	In which areas do you use generative AI the most? (Select all that apply) 	How would you rate the effectiveness of generative AI in improving your productivity? 	What are the biggest benefits you have experienced using generative AI? (Select up to three) 	What are the biggest challenges you face while using generative AI? (Select up to three) 	How do you see the role of generative AI in software development evolving over the next 5 years? 	What improvements or features would you like to see in generative AI tools? 	Do you have any additional comments or thoughts on generative AI in software development? 
1	5.8.25 11:23:14	5.8.25 11:24:22	anonymous			Software Engineer 	10+ years 	"Python ;JavaScript/Typescript ;Java ;Kotlin ;"	I am addicted 	"Gemini ;"	"Code generation ;Code completion ;Refactoring existing code ;Learning new technologies ;"	Very effective 	"Faster coding ;Reduced cognitive load ;Enhanced learning ;"	"Dependency on AI instead of critical thinking;Integration issues with existing tools;Lack of customization for project-specific needs;"	It will become an essential part of every developer's workflow. 	More contextual awareness of my codebase	Aki lemarad, kimarad.
2	5.8.25 11:22:39	5.8.25 11:24:41	anonymous			Software Engineer 	10+ years 	"JavaScript/Typescript ;Kotlin ;php :(;"	Several times a day 	"ChatGPT ;Gemini ;"	"Refactoring existing code ;Learning new technologies ;Code generation ;Code completion ;Debugging ;"	Very effective 	"Faster coding ;Easier debugging ;Reduced cognitive load ;"	"Incorrect or low-quality suggestions;Dependency on AI instead of critical thinking;Integration issues with existing tools;"	It will become an essential part of every developer's workflow. 	More contextual awareness of my codebase	
3	5.8.25 11:22:40	5.8.25 11:25:01	anonymous			Solution Architect 	0-2 years 	"Python ;JavaScript/Typescript ;Java ;"	Several times a day 	"ChatGPT ;Gemini ;Cursor;"	"Debugging ;Documentation writing ;Test case generation ;Learning new technologies ;Code generation ;"	Very effective 	"Reduced cognitive load ;Better documentation ;Enhanced learning ;"	"Incorrect or low-quality suggestions;Dependency on AI instead of critical thinking;Security and privacy concerns;"	It will become an essential part of every developer's workflow. 	Non-biased reasoning, critical thinking	
4	5.8.25 11:22:58	5.8.25 11:25:12	anonymous			DevOps Engineer 	0-2 years 	"None (Documents) ;"	Several times a day 	"ChatGPT ;"	"Debugging ;Learning new technologies ;"	Neutral 	"Faster coding ;"	"Dependency on AI instead of critical thinking;Lack of customization for project-specific needs;Security and privacy concerns;"	It will become an essential part of every developer's workflow. 	Better accuracy in code generation 	
5	5.8.25 11:22:33	5.8.25 11:25:22	anonymous			DevOps Engineer 	10+ years 	"Python ;Java ;C# ;JavaScript/Typescript ;"	Occasionally 	"ChatGPT ;GitHub Copilot ;Gemini ;"	"Code completion ;Code generation ;"	Somewhat effective 	"Reduced cognitive load ;Faster coding ;"	"Security and privacy concerns;Integration issues with existing tools;"	It will remain a helpful assistant but not a necessity.	More seamless integration with development environments	
6	5.8.25 11:23:35	5.8.25 11:26:14	anonymous			Software Engineer 	10+ years 	"Java ;"	Daily 	"GitHub Copilot ;"	"Code generation ;Code completion ;Test case generation ;Documentation writing ;"	Somewhat effective 	"Faster coding ;"	"Integration issues with existing tools;"	It will become an essential part of every developer's workflow. 	Better accuracy in code generation 	
7	5.8.25 11:22:39	5.8.25 11:26:32	anonymous			Intern	0-2 years 	"Java ;JavaScript/Typescript ;Kotlin ;"	Several times a day 	"ChatGPT ;Deepseek;"	"Documentation writing ;Learning new technologies ;Debugging ;"	Somewhat effective 	"Enhanced learning ;Faster coding ;Better documentation ;"	"Incorrect or low-quality suggestions;Security and privacy concerns;Dependency on AI instead of critical thinking;"	It will remain a helpful assistant but not a necessity.	Better accuracy in code generation 	
8	5.8.25 11:24:15	5.8.25 11:26:42	anonymous			Software Engineer 	3-5 years 	"Java ;JavaScript/Typescript ;Python ;Kotlin ;"	Several times a day 	"GitHub Copilot ;ChatGPT ;"	"Code generation ;Code completion ;Debugging ;Documentation writing ;Test case generation ;Refactoring existing code ;Learning new technologies ;"	Somewhat effective 	"Reduced cognitive load ;Faster coding ;Easier debugging ;"	"Incorrect or low-quality suggestions;Dependency on AI instead of critical thinking;Integration issues with existing tools;"	It will become an essential part of every developer's workflow. 	Better accuracy in code generation 	
9	5.8.25 11:22:33	5.8.25 11:27:20	anonymous			Software Engineer 	10+ years 	"Kotlin ;"	Several times a day 	"ChatGPT ;"	"Code generation ;Debugging ;Refactoring existing code ;Learning new technologies ;"	Very effective 	"Faster coding ;Easier debugging ;Enhanced learning ;"	"Integration issues with existing tools;Incorrect or low-quality suggestions;"	It will lead to automation replacing certain development tasks.	More seamless integration with development environments	
10	5.8.25 11:22:38	5.8.25 11:30:38	anonymous			Manual Tester	0-2 years 	"Python ;Java ;"	Occasionally 	"ChatGPT ;Gemini ;GitHub Copilot ;"	"Code generation ;Code completion ;Debugging ;Refactoring existing code ;Learning new technologies ;"	Very effective 	"Faster coding ;Improved code quality ;Enhanced learning ;"	"Incorrect or low-quality suggestions;Limited usage with free plan ;"	It will remain a helpful assistant but not a necessity.	Better accuracy in code generation 	
11	5.8.25 11:27:47	5.8.25 11:31:17	anonymous			Software Engineer 	0-2 years 	"JavaScript/Typescript ;C# ;Bash;"	Occasionally 	"ChatGPT ;"	"Test case generation ;Learning new technologies ;"	Neutral 	"Enhanced learning ;"	"Dependency on AI instead of critical thinking;"	It will remain a helpful assistant but not a necessity.	Better accuracy in code generation 	
12	5.8.25 11:24:19	5.8.25 11:31:54	anonymous			Software Engineer 	10+ years 	"Python ;JavaScript/Typescript ;Swift ;"	Several times a day 	"ChatGPT ;GitHub Copilot ;cursor;"	"Code generation ;Code completion ;"	Somewhat effective 	"Faster coding ;it can generate many boilerplate faster;"	"Incorrect or low-quality suggestions;Security and privacy concerns;"	It will remain a helpful assistant but not a necessity.	More contextual awareness of my codebase	
13	5.8.25 11:29:40	5.8.25 11:32:41	anonymous			Test Engineer 	3-5 years 	"Python ;"	Weekly 	"GitHub Copilot ;"	"Debugging ;Learning new technologies ;"	Somewhat effective 	"Easier debugging ;Enhanced learning ;Faster coding ;"	"Incorrect or low-quality suggestions;"	It will remain a helpful assistant but not a necessity.	Better accuracy in code generation 	
14	5.8.25 11:27:08	5.8.25 11:34:48	anonymous			DevOps Engineer 	3-5 years 	"Python ;shell;"	Weekly 	"ChatGPT ;Ollama+Continue in vscode;"	"Code completion ;Code generation ;Learning new technologies ;Documentation writing ;Create shell one liners, update charts, any kind of repetitive task;"	Somewhat effective 	"Enhanced learning ;Easier debugging ;Better documentation ;"	"Incorrect or low-quality suggestions;Dependency on AI instead of critical thinking;Security and privacy concerns;"	It will plateau in usefulness due to limitations.	Better accuracy in code generation 	"Two comments:
1) Most answers have to be double checked so while it helps spotting typos and is useful in general, using llms can add additional overhead to daily tasks for sanity checks.
2) When using online llms in corporate environments, leaking data becomes very easy. I would limit the ability to reach public AI services and would introduce substitutes within companies in order to prevent accidental leaks - if the data is leaked it would be still ""leaked"" to an internal service, or even better to an llm running locally, if the user workstations can support it."
15	5.8.25 11:24:49	5.8.25 11:34:54	anonymous			Software Engineer 	0-2 years 	"JavaScript/Typescript ;Python ;"	Several times a day 	"ChatGPT ;GitHub Copilot ;Gemini ;"	"Code generation ;Code completion ;Debugging ;Refactoring existing code ;"	Very effective 	"Faster coding ;Reduced cognitive load ;Improved code quality ;"	"Dependency on AI instead of critical thinking;Incorrect or low-quality suggestions;"	It will become an essential part of every developer's workflow. 	More contextual awareness of my codebase	
16	5.8.25 11:28:56	5.8.25 11:38:04	anonymous			Test Engineer 	0-2 years 	"JavaScript/Typescript ;None (Documents) ;"	Weekly 	"ChatGPT ;"	"Code completion ;Debugging ;"	Very effective 	"Faster coding ;Better documentation ;Reduced cognitive load ;"	"Security and privacy concerns;Integration issues with existing tools;"	It will become an essential part of every developer's workflow. 	More contextual awareness of my codebase	
17	5.8.25 11:38:48	5.8.25 11:42:57	anonymous			DevOps Engineer 	10+ years 	"Perl, bash;"	Occasionally 	"ChatGPT ;"	"Code generation ;Learning new technologies ;"	Somewhat effective 	"Enhanced learning ;Faster coding ;Easier debugging ;"	"Dependency on AI instead of critical thinking;Integration issues with existing tools;Incorrect or low-quality suggestions;"	It will remain a helpful assistant but not a necessity.	Better accuracy in code generation 	
18	5.8.25 11:54:02	5.8.25 11:55:50	anonymous			Software Engineer 	10+ years 	"JavaScript/Typescript ;Java ;"	Daily 	"ChatGPT ;GitHub Copilot ;Gemini ;"	"Code generation ;Code completion ;Debugging ;Test case generation ;Refactoring existing code ;Learning new technologies ;"	Very effective 	"Faster coding ;Reduced cognitive load ;Enhanced learning ;"	"Dependency on AI instead of critical thinking;"	It will become an essential part of every developer's workflow. 	More contextual awareness of my codebase	
